Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z,time_diff
2864,0.717891891891892,0.529864864864865,11.145135135135135,0.3748108108108108,0.09,-0.08981081081081081,35.0
2899,0.627891891891892,0.2998648648648649,9.625135135135135,0.3548108108108108,-0.15000000000000002,0.2101891891891892,35.0
2934,1.1078918918918919,0.779864864864865,10.225135135135135,0.2348108108108108,-0.35000000000000003,0.4401891891891892,35.0
2968,0.757891891891892,0.0998648648648649,10.735135135135135,0.1848108108108108,-0.49000000000000005,0.5101891891891892,34.0
3003,-0.782108108108108,-0.3001351351351351,9.025135135135136,0.1848108108108108,-0.6,0.4101891891891892,35.0
3038,-2.212108108108108,0.009864864864864875,9.285135135135135,0.21481081081081083,-0.5199999999999999,0.1801891891891892,35.0
3073,-2.732108108108108,-0.48013513513513506,9.325135135135135,0.3148108108108108,-0.26,-0.02981081081081081,35.0
3108,-1.8821081081081081,-0.9001351351351351,9.805135135135135,0.2948108108108108,-0.03,-0.1698108108108108,35.0
3142,-1.4121081081081082,-0.9601351351351352,10.355135135135136,0.1948108108108108,0.1,-0.1898108108108108,34.0
3176,-0.8421081081081081,-0.48013513513513506,10.455135135135135,0.05481081081081081,0.14,-0.10981081081081082,34.0
3211,-0.4821081081081081,-0.810135135135135,10.425135135135136,-0.1351891891891892,0.13,0.0001891891891891892,35.0
3246,-0.30210810810810806,-0.820135135135135,10.215135135135135,-0.2951891891891892,0.12000000000000001,0.08018918918918919,35.0
3281,-1.1321081081081081,-0.2901351351351351,9.775135135135136,-0.3851891891891892,0.12000000000000001,0.09018918918918918,35.0
3315,-1.6321081081081081,0.7398648648648649,9.265135135135136,-0.34518918918918917,0.14,0.0001891891891891892,34.0
3363,-0.4721081081081081,-0.05013513513513512,9.875135135135135,-0.1451891891891892,0.21000000000000002,-0.1698108108108108,48.0
3398,-0.16210810810810808,0.2898648648648649,9.885135135135135,-0.025189189189189193,0.2,-0.1898108108108108,35.0
3433,-0.2121081081081081,0.8498648648648649,10.155135135135135,0.0648108108108108,0.09,-0.08981081081081081,35.0
3468,0.1378918918918919,0.4698648648648649,10.255135135135136,0.10481081081081081,-0.03,0.050189189189189194,35.0
3502,0.017891891891891915,0.029864864864864893,9.925135135135136,0.08481081081081082,-0.14,0.1501891891891892,34.0
